timestamp,cpu_utilization,network_in,network_out,memory_usage,requests,error_rate,storage_free,billing_rate,cost_per_hour
2026-03-21T00:00:00+00:00,16.1598,13.58,179.67,29.07,390.5266,0.4543,15.02,1.58,0.12375
2026-03-21T00:05:00+00:00,18.6281,16.31,15.85,26.02,554.6129,4.9979,14.95,1.8509,0.12375
2026-03-21T00:10:00+00:00,28.1795,10.0,176.86,24.67,1048.7423,0.931,15.27,1.7828,0.12375
2026-03-21T00:15:00+00:00,9.9579,13.02,106.24,20.85,916.0526,3.4922,14.63,1.395,0.12375
2026-03-21T00:20:00+00:00,22.6191,10.0,87.17,36.0,703.4075,1.0133,15.25,1.1203,0.12375
2026-03-21T00:25:00+00:00,6.641,10.9,143.41,27.62,804.5767,0.1394,14.82,1.1789,0.12375
2026-03-21T00:30:00+00:00,19.3036,10.0,170.74,16.75,689.3824,3.2289,15.04,1.3217,0.12375
2026-03-21T00:35:00+00:00,27.4505,14.17,77.18,12.2,784.5005,3.8899,14.88,1.0739,0.12375
2026-03-21T00:40:00+00:00,20.932,10.0,184.13,25.97,609.5472,3.8305,14.81,1.5956,0.12375
2026-03-21T00:45:00+00:00,19.0238,15.64,186.81,21.61,654.9402,2.4297,15.26,0.5893,0.12375
2026-03-21T00:50:00+00:00,14.6373,11.12,154.14,12.0,647.3305,2.2639,15.37,1.1113,0.12375
2026-03-21T00:55:00+00:00,18.1863,10.0,112.44,25.0,618.5348,3.0537,14.95,1.4403,0.12375
2026-03-21T01:00:00+00:00,18.3511,10.0,115.21,21.82,1133.4471,2.6075,15.07,0.9775,0.12375
2026-03-21T01:05:00+00:00,15.1476,14.46,206.65,27.42,1064.9987,3.0827,15.01,1.159,0.12375
2026-03-21T01:10:00+00:00,18.1242,16.78,90.96,26.8,639.3785,2.408,15.34,1.4092,0.12375
2026-03-21T01:15:00+00:00,21.0538,14.54,208.41,19.45,573.8709,3.6856,14.58,1.6865,0.12375
2026-03-21T01:20:00+00:00,15.2602,21.61,152.34,28.14,833.1502,1.2544,15.07,0.8429,0.12375
2026-03-21T01:25:00+00:00,15.0258,18.7,155.5,20.22,1411.2912,1.7375,14.85,0.8206,0.12375
2026-03-21T01:30:00+00:00,11.702,12.45,81.98,20.68,615.543,0.7677,14.53,0.9472,0.12375
2026-03-21T01:35:00+00:00,22.2078,12.41,153.18,19.98,832.1632,2.5534,14.93,0.7698,0.12375
2026-03-21T01:40:00+00:00,23.1354,15.24,187.85,31.62,894.6494,5.2839,15.37,0.7911,0.12375
2026-03-21T01:45:00+00:00,21.2535,10.54,98.93,21.74,845.3088,1.0518,14.87,0.9393,0.12375
